Market Center,Modal Price,Commodity,State
Jaggampet,1350,Paddy(Dhan),Andhra Pradesh
Jaggayyapeta,625,Bhindi(Ladies Finger),Andhra Pradesh
Jaggayyapeta,687.5,Brinjal,Andhra Pradesh
Jaggayyapeta,625,Cucumbar,Andhra Pradesh
Jaggayyapeta,625,Tomato,Andhra Pradesh
Jammalamadugu,4312.5,Bengal Grams(Gram),Andhra Pradesh
Jammalamadugu,1312.5,Paddy(Dhan),Andhra Pradesh
Kadiri,6812.5,Ground Nut Seed,Andhra Pradesh
Kadiri,3937.5,Sunflower Seed,Andhra Pradesh
Kadiri,3125,Tamarind Seed,Andhra Pradesh
Kaikaluru,1300,Paddy(Dhan),Andhra Pradesh
Kaikaluru,1287.5,Paddy(Dhan),Andhra Pradesh
Kaikaluru,1400,Paddy(Dhan),Andhra Pradesh
Kaikaluru,1362.5,Paddy(Dhan),Andhra Pradesh
Kakinada,1400,Paddy(Dhan),Andhra Pradesh
Kalikiri,500,Tomato,Andhra Pradesh
Kalyandurg,9375,Groundnut,Andhra Pradesh
Kalyandurg,1375,Paddy(Dhan),Andhra Pradesh
Kalyandurg,10625,Tamarind fruit,Andhra Pradesh
Kalyandurg,6875,Tamarind fruit,Andhra Pradesh
Kamalapuram,3875,Bengal Grams(Gram),Andhra Pradesh
Kamalapuram,4375,Cotton,Andhra Pradesh
Kanchili,275,Jack Fruit,Andhra Pradesh
Kanchili,1350,Paddy(Dhan),Andhra Pradesh
Kandukur,5625,Bengal Grams(Gram),Andhra Pradesh
Kandukur,1625,Paddy(Dhan),Andhra Pradesh
Kandukur,2875,Rice,Andhra Pradesh
Kanigiri,1087.5,Bajra(Pearl Millet),Andhra Pradesh
Kanigiri,1212.5,Bajra(Pearl Millet),Andhra Pradesh
Kanigiri,4187.5,Red Grams,Andhra Pradesh
Kavali,1400,Paddy(Dhan),Andhra Pradesh
Koduru,687.5,Banana - Green,Andhra Pradesh
Koduru,387.5,Papaya,Andhra Pradesh
Koilkunta,4125,Bengal Grams(Gram),Andhra Pradesh
Koilkunta,1437.5,Jowar(Sorgham),Andhra Pradesh
Koilkunta,1312.5,Paddy(Dhan),Andhra Pradesh
Kondapi,5562.5,Bengal Grams(Gram),Andhra Pradesh
Kondapi,1537.5,Paddy(Dhan),Andhra Pradesh
Kondapi,1625,Paddy(Dhan),Andhra Pradesh
Kondapi,2812.5,Rice,Andhra Pradesh
Kondapi,2875,Rice,Andhra Pradesh
Kothabommali,1350,Paddy(Dhan),Andhra Pradesh
Kothapeta,1300,Paddy(Dhan),Andhra Pradesh
Kothapeta,1362.5,Paddy(Dhan),Andhra Pradesh
Kothavalasa,4031.25,Groundnut,Andhra Pradesh
Kothavalasa,3156.25,Groundnut,Andhra Pradesh
Kothavalasa,1343.75,Paddy(Dhan),Andhra Pradesh
Kothavalasa,2343.75,Rice,Andhra Pradesh
Kothavalasa,2375,Rice,Andhra Pradesh
Kovvur,3625,Beans,Andhra Pradesh
Kovvur,2625,Beetroot,Andhra Pradesh
Kovvur,2125,Bhindi(Ladies Finger),Andhra Pradesh
Kovvur,4125,Bhindi(Ladies Finger),Andhra Pradesh
Kovvur,2125,Bitter gourd,Andhra Pradesh
Kovvur,2625,Bitter gourd,Andhra Pradesh
Kovvur,750,Bottle gourd,Andhra Pradesh
Kovvur,1125,Bottle gourd,Andhra Pradesh
Kovvur,1125,Brinjal,Andhra Pradesh
Kovvur,1750,Brinjal,Andhra Pradesh
Kovvur,1375,Cabbage,Andhra Pradesh
Kovvur,1375,Cabbage,Andhra Pradesh
Kovvur,2125,Carrot,Andhra Pradesh
Kovvur,875,Cauliflower,Andhra Pradesh
Kovvur,1250,Cauliflower,Andhra Pradesh
Kovvur,2125,Cluster beans,Andhra Pradesh
Kovvur,2125,Cucumbar,Andhra Pradesh
Kovvur,3125,Drumstick,Andhra Pradesh
Kovvur,2125,Green Chilly,Andhra Pradesh
Kovvur,2125,Green Chilly,Andhra Pradesh
Kovvur,2000,Onion,Andhra Pradesh
Kovvur,1125,Onion,Andhra Pradesh
Kovvur,1387.5,Paddy(Dhan),Andhra Pradesh
Kovvur,1250,Paddy(Dhan),Andhra Pradesh
Kovvur,1350,Paddy(Dhan),Andhra Pradesh
Kovvur,1125,Potato,Andhra Pradesh
Kovvur,1250,Potato,Andhra Pradesh
Kovvur,3062.5,Rice,Andhra Pradesh
Kovvur,2625,Ridgeguard(Tori),Andhra Pradesh
Kovvur,4375,Ridgeguard(Tori),Andhra Pradesh
Kovvur,1000,Snakeguard,Andhra Pradesh
Kovvur,1125,Tomato,Andhra Pradesh
Kovvur,2000,Tomato,Andhra Pradesh
Krosuru,4250,Cotton,Andhra Pradesh
Kuchinapudi,1381.25,Paddy(Dhan),Andhra Pradesh
Kuchinapudi,2375,Rice,Andhra Pradesh
Kuppam,1187.5,Tomato,Andhra Pradesh
Kurupam,1350,Paddy(Dhan),Andhra Pradesh
Lakkireddipally,3500,Groundnut pods (raw),Andhra Pradesh
Lakkireddipally,4375,Groundnut pods (raw),Andhra Pradesh
Macharla,4437.5,Cotton,Andhra Pradesh
Macharla,1687.5,Paddy(Dhan),Andhra Pradesh
Machilipatnam,1450,Paddy(Dhan),Andhra Pradesh
Machilipatnam,1387.5,Paddy(Dhan),Andhra Pradesh
Machilipatnam,1400,Paddy(Dhan),Andhra Pradesh
Madanapalli,1125,Tomato,Andhra Pradesh
Madanapalli,925,Tomato,Andhra Pradesh
Maddipadu,3000,Bengal Grams(Gram),Andhra Pradesh
Maddipadu,1387.5,Paddy(Dhan),Andhra Pradesh
Malleswaram,1312.5,Paddy(Dhan),Andhra Pradesh
Malleswaram,1250,Paddy(Dhan),Andhra Pradesh
Malleswaram,1287.5,Paddy(Dhan),Andhra Pradesh
Malleswaram,1287.5,Paddy(Dhan),Andhra Pradesh
Malleswaram,1387.5,Paddy(Dhan),Andhra Pradesh
Malleswaram,1350,Paddy(Dhan),Andhra Pradesh
Malleswaram,1387.5,Paddy(Dhan),Andhra Pradesh
Malleswaram,1387.5,Paddy(Dhan),Andhra Pradesh
Mangalagiri,1287.5,Maize,Andhra Pradesh
Mangalagiri,1462.5,Paddy(Dhan),Andhra Pradesh
Markapur,1237.5,Bajra(Pearl Millet),Andhra Pradesh
Markapur,1237.5,Jowar(Sorgham),Andhra Pradesh
Martur,4437.5,Bengal Grams(Gram),Andhra Pradesh
Martur,1662.5,Paddy(Dhan),Andhra Pradesh
Mulakalacheruvu,875,Tomato,Andhra Pradesh
Mummidivaram,3500,Chilli Red,Andhra Pradesh
Mydukur,1500,Paddy(Dhan),Andhra Pradesh
Mydukur,1437.5,Paddy(Dhan),Andhra Pradesh
Nagalapuram,1250,Paddy(Dhan),Andhra Pradesh
Nagaram,3750,Chilli Red,Andhra Pradesh
