Market Center,Commodity,State,Loc,Year,Month,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Banaganapalli,Paddy(Dhan),Andhra Pradesh,"[78.2333, 15.3167]",2012,February,Tonnes,Sona Mahsuri,1050,1150,1100,Rs/Quintal
Banaganapalli,Bengal Grams(Gram),Andhra Pradesh,"[78.2333, 15.3167]",2012,February,Tonnes,Desi (Whole),3000,3300,3150,Rs/Quintal
Bapatla,Paddy(Dhan),Andhra Pradesh,"[80.47, 15.8889]",2012,February,Tonnes,B P T,950,1050,1000,Rs/Quintal
Bapatla,Black Grams (Urd Beans),Andhra Pradesh,"[80.47, 15.8889]",2012,February,Tonnes,Black Gram (Whole),3600,3800,3700,Rs/Quintal
Bhimadole,Maize,Andhra Pradesh,"[81.2617, 16.8144]",2011,February,Tonnes,Local,1150,1150,1150,Rs/Quintal
Bhimadole,Paddy(Dhan),Andhra Pradesh,"[81.2617, 16.8144]",2011,February,Tonnes,MTU-1001,1000,1070,1050,Rs/Quintal
Bhimadole,Maize,Andhra Pradesh,"[81.2617, 16.8144]",2012,February,Tonnes,Local,1080,1100,1090,Rs/Quintal
Bhimadole,Paddy(Dhan),Andhra Pradesh,"[81.2617, 16.8144]",2012,February,Tonnes,MTU-1010,1100,1130,1120,Rs/Quintal
Bhimavaram,Paddy(Dhan),Andhra Pradesh,"[81.5333, 16.5333]",2011,February,Tonnes,Swarna Masuri (New),950,1000,980,Rs/Quintal
Bhimavaram,Paddy(Dhan),Andhra Pradesh,"[81.5333, 16.5333]",2012,February,Tonnes,Swarna Masuri (New),1050,1100,1080,Rs/Quintal
Bhimavaram,Chilli Red,Andhra Pradesh,"[81.5333, 16.5333]",2012,February,Tonnes,Coconut,2500,3000,2800,Rs/Quintal
Bhimunipatnam,Paddy(Dhan),Andhra Pradesh,"[83.4333, 17.8833]",2012,February,Tonnes,Paddy,1000,1080,1050,Rs/Quintal
Bobbili,Paddy(Dhan),Andhra Pradesh,"[83.3667, 18.5667]",2012,February,Tonnes,1001,1080,1080,1080,Rs/Quintal
Bobbili,Jute,Andhra Pradesh,"[83.3667, 18.5667]",2012,February,Tonnes,Jute,1400,1600,1500,Rs/Quintal
Chilakaluripet,Paddy(Dhan),Andhra Pradesh,"[80.1672, 16.0892]",2011,February,Tonnes,B P T,1150,1250,1200,Rs/Quintal
Chilakaluripet,Cotton,Andhra Pradesh,"[80.1672, 16.0892]",2011,February,Tonnes,Other,3700,3900,3800,Rs/Quintal
Chilakaluripet,Paddy(Dhan),Andhra Pradesh,"[80.1672, 16.0892]",2012,February,Tonnes,B P T,1100,1200,1150,Rs/Quintal
Chilakaluripet,Bengal Grams(Gram),Andhra Pradesh,"[80.1672, 16.0892]",2012,February,Tonnes,Gulabi,3100,3300,3200,Rs/Quintal
Chilakaluripet,Cotton,Andhra Pradesh,"[80.1672, 16.0892]",2012,February,Tonnes,Other,3600,3800,3700,Rs/Quintal
Chintalapudi,Maize,Andhra Pradesh,"[80.9833, 17.0667]",2012,February,Tonnes,Hybrid/Local,940,1000,980,Rs/Quintal
Chintalapudi,Paddy(Dhan),Andhra Pradesh,"[80.9833, 17.0667]",2012,February,Tonnes,MTU-1001,1050,1110,1080,Rs/Quintal
Chintalapudi,Paddy(Dhan),Andhra Pradesh,"[80.9833, 17.0667]",2012,February,Tonnes,MTU-1010,1030,1050,1040,Rs/Quintal
Chintapally,Maize,Andhra Pradesh,"[78.8034, 16.8716]",2011,February,Tonnes,Hybrid Red (Cattle Feed),850,870,860,Rs/Quintal
Chintapally,Niger Seed (Ramtil),Andhra Pradesh,"[78.8034, 16.8716]",2012,February,Tonnes,Niger Seed,2420,2500,2450,Rs/Quintal
Chipurupalli,Groundnut,Andhra Pradesh,"[83.5667, 18.3]",2012,February,Tonnes,Local,2300,2400,2300,Rs/Quintal
Chirala,Paddy(Dhan),Andhra Pradesh,"[80.35, 15.82]",2011,February,Tonnes,B P T,1250,1330,1300,Rs/Quintal
Chirala,Rice,Andhra Pradesh,"[80.35, 15.82]",2011,February,Tonnes,B P T,2150,2250,2200,Rs/Quintal
Chirala,Cashewnuts,Andhra Pradesh,"[80.35, 15.82]",2011,February,Tonnes,Other,4000,7700,6500,Rs/Quintal
Chirala,Paddy(Dhan),Andhra Pradesh,"[80.35, 15.82]",2012,February,Tonnes,B P T,1350,1400,1375,Rs/Quintal
