Market Center,Commodity,State,Loc,Year,Month,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Yemmiganur,Groundnut,Andhra Pradesh,"[77.4833, 15.7333]",2011,February,Tonnes,TMV-2,2707,4160,3500,Rs/Quintal
Yemmiganur,Sunflower,Andhra Pradesh,"[77.4833, 15.7333]",2011,February,Tonnes,Sunflower,2619,2932,2689,Rs/Quintal
Canacona,Arecanut(Betelnut/Supari),Goa,"[74.02, 15.02]",2011,February,Tonnes,Red,7000,8000,7500,Rs/Quintal
Canacona,Arecanut(Betelnut/Supari),Goa,"[74.02, 15.02]",2011,February,Tonnes,Supari,8500,9500,9000,Rs/Quintal
Canacona,Arecanut(Betelnut/Supari),Goa,"[74.02, 15.02]",2011,February,Tonnes,White,7500,8500,8000,Rs/Quintal
Canacona,Cashewnuts,Goa,"[74.02, 15.02]",2012,February,Tonnes,Local(Raw),7600,7600,7600,Rs/Quintal
Canacona,Arecanut(Betelnut/Supari),Goa,"[74.02, 15.02]",2012,February,Tonnes,Red,11400,12100,11700,Rs/Quintal
Canacona,Arecanut(Betelnut/Supari),Goa,"[74.02, 15.02]",2012,February,Tonnes,Supari,14300,16000,15100,Rs/Quintal
Canacona,Arecanut(Betelnut/Supari),Goa,"[74.02, 15.02]",2012,February,Tonnes,White,12800,13500,13200,Rs/Quintal
Mapusa,Banana,Goa,"[73.82, 15.6]",2011,February,Tonnes,Other,350,450,400,Rs/Quintal
Mapusa,Grapes,Goa,"[73.82, 15.6]",2011,February,Tonnes,Other,1500,1600,1550,Rs/Quintal
Mapusa,Orange,Goa,"[73.82, 15.6]",2011,February,Tonnes,Orange,600,700,650,Rs/Quintal
Mapusa,Papaya,Goa,"[73.82, 15.6]",2011,February,Tonnes,Papaya,500,600,550,Rs/Quintal
Mapusa,Pine Apple,Goa,"[73.82, 15.6]",2011,February,Tonnes,Other,600,600,600,Rs/Quintal
Mapusa,Cashewnuts,Goa,"[73.82, 15.6]",2011,February,Tonnes,Other,8000,8000,8000,Rs/Quintal
Ponda,Cashewnuts,Goa,"[74.02, 15.4]",2012,February,Tonnes,Local(Raw),7600,7600,7600,Rs/Quintal
Ponda,Arecanut(Betelnut/Supari),Goa,"[74.02, 15.4]",2012,February,Tonnes,Red,11400,12100,11400,Rs/Quintal
Ponda,Arecanut(Betelnut/Supari),Goa,"[74.02, 15.4]",2012,February,Tonnes,Supari,14300,16000,14300,Rs/Quintal
Ponda,Arecanut(Betelnut/Supari),Goa,"[74.02, 15.4]",2012,February,Tonnes,White,12800,13500,12800,Rs/Quintal
Sanquelim,Cashewnuts,Goa,"[74.01111, 15.5625]",2012,February,Tonnes,Other,7600,7600,7600,Rs/Quintal
Sanquelim,Arecanut(Betelnut/Supari),Goa,"[74.01111, 15.5625]",2012,February,Tonnes,Red,11400,12100,11750,Rs/Quintal
Sanquelim,Arecanut(Betelnut/Supari),Goa,"[74.01111, 15.5625]",2012,February,Tonnes,Supari,14300,16000,15150,Rs/Quintal
Sanquelim,Arecanut(Betelnut/Supari),Goa,"[74.01111, 15.5625]",2012,February,Tonnes,White,12800,13500,13150,Rs/Quintal
Valpol,Arecanut(Betelnut/Supari),Goa,"[74.13, 15.53]",2011,February,Tonnes,Red,7000,8000,7500,Rs/Quintal
Valpol,Arecanut(Betelnut/Supari),Goa,"[74.13, 15.53]",2011,February,Tonnes,Supari,8500,9500,9000,Rs/Quintal
Valpol,Arecanut(Betelnut/Supari),Goa,"[74.13, 15.53]",2011,February,Tonnes,White,7500,8500,8000,Rs/Quintal
Annigeri,Maize,Karnataka,"[75.43, 15.4]",2011,February,Tonnes,Yellow,753,753,753,Rs/Quintal
Arasikere,Tamarind Fruit,Karnataka,"[76.2561,13.3139]",2011,February,Tonnes,Tamarind Fruit,3000,4000,3000,Rs/Quintal
Arasikere,Onion,Karnataka,"[76.2561,13.3139]",2011,February,Tonnes,Onion,1000,2000,1500,Rs/Quintal
Arasikere,Ragi (Finger Millet),Karnataka,"[76.2561,13.3139]",2011,February,Tonnes,Local,690,770,750,Rs/Quintal
Athani,Maize,Karnataka,"[75.07,16.73]",2011,February,Tonnes,Local,900,980,950,Rs/Quintal
Aurad,Jowar(Sorgham),Karnataka,"[77.43,19.25]",2011,February,Tonnes,Jowar Hybrid,830,830,830,Rs/Quintal
Aurad,Avare Dal,Karnataka,"[77.43,19.25]",2011,February,Tonnes,Avare (Whole),2200,2200,2200,Rs/Quintal
Badami,Bajra(Pearl Millet),Karnataka,"[75.6803,15.92]",2011,February,Tonnes,Hybrid,800,900,850,Rs/Quintal
Badami,Jowar(Sorgham),Karnataka,"[75.6803,15.92]",2011,February,Tonnes,Jowar Hybrid,900,1000,950,Rs/Quintal
Bagalakot,Bajra(Pearl Millet),Karnataka,"[75.6958, 16.1817]",2011,February,Tonnes,Hybrid,821,821,821,Rs/Quintal
Bagalakot,Linseed,Karnataka,"[75.6958, 16.1817]",2011,February,Tonnes,Other,2101,2101,2101,Rs/Quintal
Bagalakot,Sunflower,Karnataka,"[75.6958, 16.1817]",2011,February,Tonnes,Sunflower,2902,3002,2982,Rs/Quintal
Bagalakot,Groundnut,Karnataka,"[75.6958, 16.1817]",2011,February,Tonnes,Gejje,1662,2253,2053,Rs/Quintal
Bagalakot,Green Grams (Moong),Karnataka,"[75.6958, 16.1817]",2011,February,Tonnes,Green (Whole),3211,4975,3411,Rs/Quintal
Bagalakot,Maize,Karnataka,"[75.6958, 16.1817]",2011,February,Tonnes,Hybrid/Local,905,996,981,Rs/Quintal
Bangalore,Ragi (Finger Millet),Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Medium,1000,1100,1075,Rs/Quintal
Bangalore,Rice,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Fine,2500,3050,2700,Rs/Quintal
Bangalore,Rice,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Medium,2100,2500,2400,Rs/Quintal
Bangalore,Groundnut,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Big (With Shell),3100,3500,3400,Rs/Quintal
Bangalore,Onion,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Local,1000,1100,1075,Rs/Quintal
Bangalore,Onion,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Puna,1100,1350,1260,Rs/Quintal
Bangalore,Potato,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Local,1000,1100,1050,Rs/Quintal
Bangalore,Potato,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Other,400,900,700,Rs/Quintal
Bangalore,Navane,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Other,1200,1300,1250,Rs/Quintal
Bangalore,Ground Nut Seed,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Ground Nut Seed,5000,6300,5800,Rs/Quintal
Bangalore,Avare Dal,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Avare (Whole),4000,4800,4500,Rs/Quintal
Bangalore,Tamarind Fruit,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Tamarind Fruit,4000,5800,5200,Rs/Quintal
Bangalore,Mustard,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Other,2400,3000,2700,Rs/Quintal
Bangalore,Avare Dal,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Avare (Whole),2500,3000,2600,Rs/Quintal
Bangalore,Chennangidal,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Chennangi Dal,3600,4200,3900,Rs/Quintal
Bangalore,Jowar(Sorgham),Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Jowar ( White),1200,1600,1450,Rs/Quintal
Bangalore,Green ginger,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Green Ginger,1500,1900,1650,Rs/Quintal
Bangalore,Green Grams (Moong),Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Green (Whole),4200,6200,5300,Rs/Quintal
Bangalore,Maize,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Hybrid/Local,900,920,910,Rs/Quintal
Bangalore,Ragi (Finger Millet),Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Fine,1100,1250,1175,Rs/Quintal
Bangalore,Green Peas,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Green Peas,1900,3100,2800,Rs/Quintal
Bangalore,Black Grams (Urd Beans),Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Black Gram Dal,5400,7300,6800,Rs/Quintal
Bangalore,Wheat,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Local,1700,2150,2000,Rs/Quintal
Bangalore,Potato,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Chips,1100,1200,1160,Rs/Quintal
Bangalore,Onion,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Bangalore-Samall,500,1000,750,Rs/Quintal
Bangalore,Rice,Karnataka,"[77.5667,12.9667]",2011,February,Tonnes,Dappa,1650,1900,1800,Rs/Quintal
Bangarpet,Rice,Karnataka,"[78.1333, 13.1333]",2011,February,Tonnes,IR 20,1580,2800,1620,Rs/Quintal
Bangarpet,Avare Dal,Karnataka,"[78.1333, 13.1333]",2011,February,Tonnes,Avare (Whole),1800,2000,1900,Rs/Quintal
Bangarpet,Cabbage,Karnataka,"[78.1333, 13.1333]",2011,February,Tonnes,Cabbage,280,400,300,Rs/Quintal
Bangarpet,Potato,Karnataka,"[78.1333, 13.1333]",2012,February,Tonnes,Local,690,820,710,Rs/Quintal
Bangarpet,Paddy(Dhan),Karnataka,"[78.1333, 13.1333]",2012,February,Tonnes,Paddy Medium,1000,1310,1260,Rs/Quintal
Bangarpet,Potato,Karnataka,"[78.1333, 13.1333]",2011,February,Tonnes,Local,800,960,870,Rs/Quintal
Bangarpet,Rice,Karnataka,"[78.1333, 13.1333]",2012,February,Tonnes,Broken Rice,1000,1300,1180,Rs/Quintal
Bangarpet,Paddy(Dhan),Karnataka,"[78.1333, 13.1333]",2011,February,Tonnes,Paddy Medium,1000,1200,1060,Rs/Quintal
Bangarpet,Rice,Karnataka,"[78.1333, 13.1333]",2011,February,Tonnes,Broken Rice,1100,1340,1230,Rs/Quintal
Bangarpet,Rice,Karnataka,"[78.1333, 13.1333]",2012,February,Tonnes,Fine,1400,2100,1880,Rs/Quintal
Bantwala,Paddy(Dhan),Karnataka,"[75.066,12.836]",2011,February,Tonnes,Jaya,1020,1220,1100,Rs/Quintal
Bantwala,Paddy(Dhan),Karnataka,"[75.066,12.836]",2011,February,Tonnes,Paddy Jyoti,1030,1300,1220,Rs/Quintal
Bantwala,Rice,Karnataka,"[75.066,12.836]",2011,February,Tonnes,IR-8,1720,2080,1980,Rs/Quintal
Bantwala,Rice,Karnataka,"[75.066,12.836]",2011,February,Tonnes,Kattasambar,1620,2200,2100,Rs/Quintal
Bantwala,Copra,Karnataka,"[75.066,12.836]",2011,February,Tonnes,other,4000,5000,4600,Rs/Quintal
Bantwala,Arecanut(Betelnut/Supari),Karnataka,"[75.066,12.836]",2011,February,Tonnes,New Variety,6500,8300,8000,Rs/Quintal
Bantwala,Arecanut(Betelnut/Supari),Karnataka,"[75.066,12.836]",2011,February,Tonnes,Cqca,3630,4800,4000,Rs/Quintal
Basava Kalayana,Jowar(Sorgham),Karnataka,"[76.9497, 17.8728]",2011,February,Tonnes,Jowar ( White),2400,2400,2400,Rs/Quintal
Basava Kalayana,Wheat,Karnataka,"[76.9497, 17.8728]",2011,February,Tonnes,Mexican,1200,1450,1300,Rs/Quintal
Basava Kalayana,Black Grams (Urd Beans),Karnataka,"[76.9497, 17.8728]",2011,February,Tonnes,Black Gram (Whole),3000,3000,3000,Rs/Quintal
Basava Kalayana,Green Grams (Moong),Karnataka,"[76.9497, 17.8728]",2011,February,Tonnes,Green (Whole),3500,3500,3500,Rs/Quintal
Basava Kalayana,Groundnut,Karnataka,"[76.9497, 17.8728]",2011,February,Tonnes,Gungri (With Shell),4100,4100,4100,Rs/Quintal
Basava Kalayana,Soyabean,Karnataka,"[76.9497, 17.8728]",2011,February,Tonnes,Soyabeen,1900,2150,2000,Rs/Quintal
Basava Kalayana,Sunflower,Karnataka,"[76.9497, 17.8728]",2011,February,Tonnes,Sunflower,2900,3100,3000,Rs/Quintal
Basava Kalayana,Bajra(Pearl Millet),Karnataka,"[76.9497, 17.8728]",2011,February,Tonnes,Local,850,950,900,Rs/Quintal
Basava Kalayana,Jowar(Sorgham),Karnataka,"[76.9497, 17.8728]",2011,February,Tonnes,Hybrid,800,1100,900,Rs/Quintal
Bellary,Safflower,Karnataka,"[76.9167, 15.15]",2011,February,Tonnes,Safflower,2126,2126,2126,Rs/Quintal
Bellary,Bajra(Pearl Millet),Karnataka,"[76.9167, 15.15]",2011,February,Tonnes,Hybrid,920,1120,920,Rs/Quintal
Bellary,Navane,Karnataka,"[76.9167, 15.15]",2011,February,Tonnes,Navane Hybrid,1150,1276,1190,Rs/Quintal
Bellary,Groundnut,Karnataka,"[76.9167, 15.15]",2011,February,Tonnes,Big (With Shell),2151,4011,2750,Rs/Quintal
Bellary,Jowar(Sorgham),Karnataka,"[76.9167, 15.15]",2011,February,Tonnes,Jowar Hybrid,1350,1600,1500,Rs/Quintal
Bellary,Maize,Karnataka,"[76.9167, 15.15]",2011,February,Tonnes,Local,890,1000,998,Rs/Quintal
Belur,Green Ginger,Karnataka,"[75.8571, 13.1629]",2012,February,Tonnes,Green Ginger,800,1000,1000,Rs/Quintal
Belur,Paddy(Dhan),Karnataka,"[75.8571, 13.1629]",2011,February,Tonnes,Paddy,1000,1100,1000,Rs/Quintal
Belur,Maize,Karnataka,"[75.8571, 13.1629]",2011,February,Tonnes,Hybrid/Local,900,1130,1000,Rs/Quintal
Belur,Green ginger,Karnataka,"[75.8571, 13.1629]",2011,February,Tonnes,Green Ginger,1000,1100,1000,Rs/Quintal
Bhadravathi,Onion,Karnataka,"[75.7020, 13.84]",2011,February,Tonnes,Onion,1000,1000,1000,Rs/Quintal
Bhadravathi,Maize,Karnataka,"[75.7020, 13.84]",2011,February,Tonnes,Hybrid/Local,1030,1030,1030,Rs/Quintal
Bidar,Rice,Karnataka,"[77.5, 17.9]",2011,February,Tonnes,CR 1009 (Coarse) Boiled,2150,3050,2755,Rs/Quintal
Bidar,Wheat,Karnataka,"[77.5, 17.9]",2011,February,Tonnes,Red,1500,1800,1750,Rs/Quintal
Bidar,Jowar(Sorgham),Karnataka,"[77.5, 17.9]",2011,February,Tonnes,Jowar ( White),1725,2700,2655,Rs/Quintal
Bidar,Rice,Karnataka,"[77.5, 17.9]",2011,February,Tonnes,Broken Rice,1000,1500,1415,Rs/Quintal
Bijapur,Cotton,Karnataka,"[75.71,16.83]",2011,February,Tonnes,LH-1556,4500,6933,6280,Rs/Quintal
Bijapur,Onion,Karnataka,"[75.71,16.83]",2011,February,Tonnes,Onion,100,1000,600,Rs/Quintal
"Binny Mill (F&V), Bangalore",Banana,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Nauti Bale,500,650,550,Rs/Quintal
"Binny Mill (F&V), Bangalore",Banana,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Nendra Bale,1300,1800,1600,Rs/Quintal
"Binny Mill (F&V), Bangalore",Banana,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Pachha Bale,500,1000,800,Rs/Quintal
"Binny Mill (F&V), Bangalore",Grapes,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,White,1500,2500,2000,Rs/Quintal
"Binny Mill (F&V), Bangalore",Cowpea(Veg),Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Cowpea (Veg),1400,1600,1500,Rs/Quintal
"Binny Mill (F&V), Bangalore",Ber (Zizyphus),Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Sapota,800,1500,1200,Rs/Quintal
"Binny Mill (F&V), Bangalore",Snakeguard,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Snakeguard,1200,1400,1300,Rs/Quintal
"Binny Mill (F&V), Bangalore",Banana - Green,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Banana - Green,600,800,700,Rs/Quintal
"Binny Mill (F&V), Bangalore",Bottle gourd,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Bottle Gourd,500,600,550,Rs/Quintal
"Binny Mill (F&V), Bangalore",Chapparad Avare,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Chapparada Avarekai,1200,1400,1300,Rs/Quintal
"Binny Mill (F&V), Bangalore",Bitter gourd,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Bitter Gourd,1200,1400,1300,Rs/Quintal
"Binny Mill (F&V), Bangalore",Ridgeguard(Tori),Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Ridgeguard(Tori),1400,1600,1500,Rs/Quintal
"Binny Mill (F&V), Bangalore",Seemebadnekai,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Seemebadanekai,600,700,650,Rs/Quintal
"Binny Mill (F&V), Bangalore",Cauliflower,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Cauliflower,800,1000,900,Rs/Quintal
"Binny Mill (F&V), Bangalore",Sweet Pumpkin,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Sweet Pumpkin,400,600,500,Rs/Quintal
"Binny Mill (F&V), Bangalore",Capsicum,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Capsicum,1400,1800,1600,Rs/Quintal
"Binny Mill (F&V), Bangalore",Thondekai,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Thondekai,1000,1200,1100,Rs/Quintal
"Binny Mill (F&V), Bangalore",Raddish,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Raddish,500,600,550,Rs/Quintal
"Binny Mill (F&V), Bangalore",Bhindi(Ladies Finger),Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Bhindi,1200,1500,1300,Rs/Quintal
"Binny Mill (F&V), Bangalore",Grapes,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Black,800,1400,1200,Rs/Quintal
"Binny Mill (F&V), Bangalore",Plum,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Pomogranate,3500,4500,4000,Rs/Quintal
"Binny Mill (F&V), Bangalore",Knool Khol,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Knool Khol,500,700,600,Rs/Quintal
"Binny Mill (F&V), Bangalore",Beetroot,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Beetroot,1000,1200,1100,Rs/Quintal
"Binny Mill (F&V), Bangalore",Green ginger,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Green Ginger,1600,2000,1800,Rs/Quintal
"Binny Mill (F&V), Bangalore",Green Chilly,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Green Chilly,1300,1600,1400,Rs/Quintal
"Binny Mill (F&V), Bangalore",Beans,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Beans (Whole),1000,1400,1200,Rs/Quintal
"Binny Mill (F&V), Bangalore",Papaya,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Papaya,300,700,500,Rs/Quintal
"Binny Mill (F&V), Bangalore",Cucumbar,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Cucumbar,500,700,600,Rs/Quintal
"Binny Mill (F&V), Bangalore",Brinjal,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Brinjal,600,1200,1000,Rs/Quintal
"Binny Mill (F&V), Bangalore",Carrot,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Carrot,1400,1600,1500,Rs/Quintal
"Binny Mill (F&V), Bangalore",Pine Apple,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Pine Apple,800,1600,1200,Rs/Quintal
"Binny Mill (F&V), Bangalore",Cabbage,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Cabbage,300,400,350,Rs/Quintal
"Binny Mill (F&V), Bangalore",Peas Wet,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Peas Wet,1800,2000,1900,Rs/Quintal
"Binny Mill (F&V), Bangalore",Karbuja,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Karbhuja,600,1000,800,Rs/Quintal
"Binny Mill (F&V), Bangalore",Tomato,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Tomato,400,500,450,Rs/Quintal
"Binny Mill (F&V), Bangalore",Water Melon,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Water Melon,400,800,600,Rs/Quintal
"Binny Mill (F&V), Bangalore",Banana,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Elakki Bale,1200,2900,2700,Rs/Quintal
"Binny Mill (F&V), Bangalore",Apple,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Apple,4500,6500,5500,Rs/Quintal
"Binny Mill (F&V), Bangalore",Mousambi,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Mousambi,1400,1800,1600,Rs/Quintal
"Binny Mill (F&V), Bangalore",Orange,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Orange,1600,2000,1800,Rs/Quintal
"Binny Mill (F&V), Bangalore",Orange,Karnataka,"[77.579063,12.9804051]",2011,February,Tonnes,Other,1500,2200,1800,Rs/Quintal
Chamaraj Nagar,Brinjal,Karnataka,"[76.9417103,11.922483]",2011,February,Tonnes,Other,300,450,400,Rs/Quintal
Chamaraj Nagar,Beetroot,Karnataka,"[76.9417103,11.922483]",2011,February,Tonnes,Beetroot,300,500,400,Rs/Quintal
Chamaraj Nagar,Green Chilly,Karnataka,"[76.9417103,11.922483]",2011,February,Tonnes,Green Chilly,500,650,600,Rs/Quintal
Chamaraj Nagar,Raddish,Karnataka,"[76.9417103,11.922483]",2011,February,Tonnes,Raddish,250,350,300,Rs/Quintal
Chamaraj Nagar,Rice,Karnataka,"[76.9417103,11.922483]",2011,February,Tonnes,Other,2375,2375,2375,Rs/Quintal
Chamaraj Nagar,Tomato,Karnataka,"[76.9417103,11.922483]",2011,February,Tonnes,Hybrid,200,300,250,Rs/Quintal
Chamaraj Nagar,Tender Coconut,Karnataka,"[76.9417103,11.922483]",2011,February,Tonnes,Tender Coconut,4000,4000,4000,Rs/Quintal
Channagiri,Maize,Karnataka,"[75.9234666,14.0267512]",2011,February,Tonnes,Hybrid/Local,800,900,880,Rs/Quintal
Channapatana,Brinjal,Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Brinjal,800,900,850,Rs/Quintal
Channapatana,Green Chilly,Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Green Chilly,1200,1300,1250,Rs/Quintal
Channapatana,Knool Khol,Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Knool Khol,500,500,500,Rs/Quintal
Channapatana,Raddish,Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Raddish,500,500,500,Rs/Quintal
Channapatana,Ridgeguard(Tori),Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Ridgeguard(Tori),1200,1300,1250,Rs/Quintal
Channapatana,Beans,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Beans (Whole),2000,2200,2100,Rs/Quintal
Channapatana,Banana,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Elakki Bale,2000,2700,2350,Rs/Quintal
Channapatana,Papaya,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Papaya,500,800,650,Rs/Quintal
Channapatana,Brinjal,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Brinjal,600,900,750,Rs/Quintal
Channapatana,Knool khol,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Knool Khol,800,1000,900,Rs/Quintal
Channapatana,Raddish,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Raddish,800,1000,900,Rs/Quintal
Channapatana,Ridgeguard(Tori),Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Ridgeguard(Tori),1500,1700,1600,Rs/Quintal
Channapatana,Banana,Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Elakki Bale,1500,2300,1900,Rs/Quintal
Channapatana,Cucumber,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Cucumbar,200,400,300,Rs/Quintal
Channapatana,Tomato,Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Tomato,200,350,275,Rs/Quintal
Channapatana,Tomato,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Tomato,400,800,600,Rs/Quintal
Channapatana,Betal Leaves,Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Local,3000,7000,5000,Rs/Quintal
Channapatana,Betal Leaves,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Local,2000,4200,3100,Rs/Quintal
Channapatana,"Gingelly (Sesamum, Sesame, Til)",Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Other,2500,2500,2500,Rs/Quintal
Channapatana,Paddy(Dhan),Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Paddy Medium,1000,1000,1000,Rs/Quintal
Channapatana,Maize,Karnataka,"[77.2050,12.6530]",2011,February,Tonnes,Other,1000,1010,1005,Rs/Quintal
Channapatana,Chilli Red,Karnataka,"[77.2050,12.6530]",2012,February,Tonnes,Coconut,3500,7000,5250,Rs/Quintal
Channarayapatna,Banana - Green,Karnataka,"[76.39,12.9]",2012,February,Tonnes,Banana - Green,1300,2000,1409,Rs/Quintal
Channarayapatna,Ragi (Finger Millet),Karnataka,"[76.39,12.9]",2011,February,Tonnes,Fine,820,820,820,Rs/Quintal
Channarayapatna,Ragi (Finger Millet),Karnataka,"[76.39,12.9]",2012,February,Tonnes,Fine,800,900,853,Rs/Quintal
Channarayapatna,Copra,Karnataka,"[76.39,12.9]",2011,February,Tonnes,Small,2500,3500,3125,Rs/Quintal
Channarayapatna,Maize,Karnataka,"[76.39,12.9]",2012,February,Tonnes,Hybrid/Local,1190,1190,1190,Rs/Quintal
Channarayapatna,Maize,Karnataka,"[76.39,12.9]",2011,February,Tonnes,Hybrid/Local,1000,1067,1042,Rs/Quintal
Channarayapatna,Tender Coconut,Karnataka,"[76.39,12.9]",2011,February,Tonnes,Tender Coconut,3000,3000,3000,Rs/Quintal
Channarayapatna,Tender Coconut,Karnataka,"[76.39,12.9]",2012,February,Tonnes,Tender Coconut,3000,3000,3000,Rs/Quintal
Chickkaballapura,Bhindi(Ladies Finger),Karnataka,"[77.72,13.43]",2011,February,Tonnes,Bhindi,1200,1400,1300,Rs/Quintal
Chickkaballapura,Bitter gourd,Karnataka,"[77.72,13.43]",2012,February,Tonnes,Bitter Gourd,700,800,750,Rs/Quintal
Chickkaballapura,Bottle gourd,Karnataka,"[77.72,13.43]",2012,February,Tonnes,Bottle Gourd,200,300,250,Rs/Quintal
Chickkaballapura,Brinjal,Karnataka,"[77.72,13.43]",2011,February,Tonnes,Brinjal,300,700,500,Rs/Quintal
Chickkaballapura,Capsicum,Karnataka,"[77.72,13.43]",2011,February,Tonnes,Capsicum,700,1300,1000,Rs/Quintal
Chickkaballapura,Green Chilly,Karnataka,"[77.72,13.43]",2011,February,Tonnes,Green Chilly,800,1600,1200,Rs/Quintal
Chickkaballapura,Raddish,Karnataka,"[77.72,13.43]",2011,February,Tonnes,Raddish,100,200,150,Rs/Quintal
Chickkaballapura,Cauliflower,Karnataka,"[77.72,13.43]",2012,February,Tonnes,Cauliflower,400,600,500,Rs/Quintal
Chickkaballapura,Green Chilly,Karnataka,"[77.72,13.43]",2012,February,Tonnes,Green Chilly,1200,1500,1400,Rs/Quintal
Chickkaballapura,Ridgeguard(Tori),Karnataka,"[77.72,13.43]",2012,February,Tonnes,Ridgeguard(Tori),900,1200,1100,Rs/Quintal
